                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5783,                 2.0065,                 2.0842,                0.36463,                0.54987,                0.42915,                0.24936,                 1.5414,                 1.7715,                 1.9847,               0.008317,               0.008317,               0.008317
                     36,                 1.6036,                 1.9827,                 2.1034,                0.49299,                0.43683,                0.42762,                 0.2773,                 1.4636,                 2.0034,                 1.9183,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5785,                 1.9627,                 2.0665,                0.38857,                0.49857,                0.43587,                0.27258,                 1.4826,                 1.6463,                 1.9704,               0.008218,               0.008218,               0.008218
                     38,                 1.5724,                  1.929,                 2.0635,                0.45867,                0.33909,                0.41593,                  0.252,                 1.5156,                 1.7315,                 1.9841,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5832,                 1.9026,                 2.0633,                0.48548,                 0.4491,                0.50092,                0.31335,                 1.3842,                 1.6176,                 1.8501,               0.008119,               0.008119,               0.008119
                     40,                 1.5604,                 1.9009,                 2.0487,                0.51237,                0.37379,                0.46229,                0.27878,                 1.4374,                 1.6226,                 1.8895,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5126,                 1.8738,                 2.0021,                0.36408,                0.48029,                0.46652,                 0.2931,                  1.486,                 1.6192,                 1.9076,                0.00802,                0.00802,                0.00802
                     42,                  1.532,                  1.872,                 2.0014,                0.41886,                0.54813,                0.47242,                0.28814,                 1.4385,                 1.6333,                 1.8786,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5151,                 1.8427,                 1.9816,                0.41284,                0.59701,                0.47503,                0.27805,                  1.503,                 1.6283,                  1.946,               0.007921,               0.007921,               0.007921
                     44,                 1.5342,                 1.8249,                 2.0314,                0.48903,                0.48236,                0.50603,                0.30147,                 1.5121,                 1.5654,                 1.9475,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5123,                 1.8302,                 2.0044,                0.62339,                0.47281,                0.57715,                 0.3446,                 1.5495,                 1.4591,                 1.9761,               0.007822,               0.007822,               0.007822
                     46,                 1.5017,                 1.8323,                 1.9884,                0.41787,                0.44542,                0.42847,                0.27094,                 1.4395,                 1.5843,                 1.8667,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5038,                 1.7498,                 1.9775,                0.44179,                0.49804,                0.49583,                 0.2883,                 1.5167,                 1.5687,                 1.9391,               0.007723,               0.007723,               0.007723
                     48,                 1.4952,                 1.7526,                 1.9575,                0.58183,                 0.4232,                0.52529,                0.32987,                 1.4087,                 1.5342,                  1.854,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5071,                  1.721,                 1.9707,                0.52652,                0.54198,                0.56342,                0.34594,                 1.4541,                 1.4774,                 1.8913,               0.007624,               0.007624,               0.007624
                     50,                 1.4396,                  1.702,                 1.9094,                0.43885,                 0.5058,                0.49275,                0.29482,                   1.56,                 1.6382,                 1.9675,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4686,                 1.6571,                 1.9415,                0.53582,                0.50145,                0.51909,                 0.3361,                 1.4033,                 1.5457,                 1.8476,               0.007525,               0.007525,               0.007525
                     52,                 1.4668,                 1.6934,                 1.9311,                0.59466,                0.52585,                0.59754,                   0.37,                 1.4468,                 1.4368,                 1.8356,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4351,                  1.639,                 1.9108,                0.55088,                0.53696,                0.58564,                0.38033,                 1.3732,                 1.4165,                 1.7977,               0.007426,               0.007426,               0.007426
