                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5793,                 1.9399,                 2.0461,                0.43337,                0.44075,                0.43233,                0.26247,                 1.4684,                 1.6237,                 1.8862,               0.008317,               0.008317,               0.008317
                     36,                 1.5798,                 1.9148,                 2.0385,                0.46907,                0.52147,                0.51691,                0.31278,                 1.4588,                 1.6026,                 1.8859,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5691,                 1.8943,                 2.0048,                0.59567,                0.36484,                0.48278,                0.29288,                 1.4601,                 1.6313,                 1.8804,               0.008218,               0.008218,               0.008218
                     38,                 1.5437,                 1.8907,                 1.9908,                0.38045,                0.49999,                0.42889,                0.25158,                 1.4504,                 1.7476,                 1.8937,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.552,                 1.8494,                 1.9983,                0.45023,                0.58026,                0.50328,                0.29414,                 1.4538,                 1.7059,                 1.9009,               0.008119,               0.008119,               0.008119
                     40,                 1.5654,                 1.8471,                 2.0134,                0.39158,                0.47091,                0.43587,                0.24414,                 1.5405,                 1.8123,                 1.9477,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5105,                 1.8034,                  1.956,                0.39714,                 0.4041,                0.42925,                0.26426,                 1.4851,                 1.7568,                 1.8735,                0.00802,                0.00802,                0.00802
                     42,                 1.5298,                 1.7987,                 1.9581,                0.42099,                0.55842,                0.51895,                0.30694,                 1.4887,                 1.6715,                 1.8772,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5078,                 1.7584,                 1.9342,                0.47949,                0.55674,                0.53089,                0.30928,                 1.4478,                 1.6258,                 1.8557,               0.007921,               0.007921,               0.007921
                     44,                 1.5151,                 1.7754,                 1.9625,                0.38381,                0.53301,                0.51177,                0.30734,                 1.4391,                  1.564,                 1.8406,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4955,                 1.7686,                 1.9416,                0.47374,                0.51787,                0.52855,                0.31494,                 1.5402,                 1.4951,                 1.9274,               0.007822,               0.007822,               0.007822
                     46,                 1.4845,                 1.7408,                 1.9314,                0.29237,                0.61698,                0.37461,                 0.2279,                  1.446,                 1.7801,                 1.8576,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.489,                 1.6964,                 1.9266,                0.64235,                0.46032,                0.51587,                0.31133,                  1.425,                 1.5661,                 1.8169,               0.007723,               0.007723,               0.007723
                     48,                 1.4814,                 1.6806,                 1.9172,                0.40575,                0.48972,                0.50572,                0.29433,                  1.444,                 1.5894,                 1.8466,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.5007,                 1.6718,                 1.9155,                0.58674,                0.51582,                0.54307,                0.31973,                 1.5351,                 1.5798,                 1.9064,               0.007624,               0.007624,               0.007624
                     50,                 1.4532,                 1.6448,                 1.8572,                0.65875,                0.43733,                0.53255,                0.31448,                  1.545,                 1.5628,                 1.8711,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.464,                 1.6136,                 1.8854,                0.76589,                0.42075,                0.53217,                0.34613,                 1.3704,                 1.4736,                 1.7709,               0.007525,               0.007525,               0.007525
                     52,                 1.4574,                 1.6484,                 1.8735,                0.61029,                0.57507,                0.66439,                0.41002,                  1.424,                  1.423,                 1.7971,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4223,                 1.5915,                 1.8419,                0.50064,                 0.6606,                0.59192,                0.37181,                 1.3888,                 1.5345,                 1.7714,               0.007426,               0.007426,               0.007426
                     54,                 1.4265,                   1.58,                 1.8505,                0.58624,                0.54449,                0.58656,                0.36628,                 1.4266,                 1.4849,                 1.8129,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4244,                 1.5714,                 1.8666,                0.60948,                0.46078,                0.52778,                0.32768,                 1.4951,                 1.6249,                 1.8583,               0.007327,               0.007327,               0.007327
                     56,                  1.447,                 1.5898,                  1.877,                0.68613,                0.46787,                0.54636,                0.33367,                 1.3508,                 1.5281,                 1.7609,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3899,                 1.5248,                 1.8314,                0.62924,                0.48529,                 0.5958,                0.35693,                 1.4297,                 1.4884,                 1.8113,               0.007228,               0.007228,               0.007228
                     58,                 1.4364,                  1.531,                 1.8579,                0.48666,                0.58292,                0.54259,                0.33743,                  1.406,                  1.588,                  1.779,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4092,                 1.5046,                 1.8388,                0.55964,                0.57724,                0.63063,                0.38627,                 1.4521,                 1.3865,                 1.7966,               0.007129,               0.007129,               0.007129
                     60,                 1.4082,                 1.4844,                 1.8388,                0.47503,                0.62768,                 0.5862,                0.37116,                 1.3254,                 1.3331,                 1.7394,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4042,                 1.4975,                 1.8391,                0.62191,                0.52177,                0.62735,                0.38867,                 1.4167,                 1.4512,                 1.7961,                0.00703,                0.00703,                0.00703
                     62,                 1.3667,                   1.49,                 1.8011,                0.57532,                0.53418,                0.59675,                0.37201,                    1.4,                 1.5031,                 1.7951,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4059,                 1.4707,                 1.8292,                0.53019,                0.58787,                0.58722,                0.36939,                 1.3857,                 1.4171,                 1.7762,               0.006931,               0.006931,               0.006931
                     64,                 1.4184,                 1.4542,                  1.823,                0.53301,                 0.5951,                0.57432,                0.36071,                 1.3963,                 1.5212,                 1.7693,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3799,                 1.4409,                  1.795,                0.49484,                0.56966,                0.58483,                0.37129,                 1.3773,                 1.4551,                 1.7269,               0.006832,               0.006832,               0.006832
                     66,                 1.3541,                  1.395,                 1.7631,                0.56564,                0.51248,                 0.6186,                0.39242,                 1.3693,                 1.5394,                 1.7556,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3598,                 1.3737,                 1.7879,                0.52901,                0.66416,                0.62193,                0.38599,                 1.4125,                 1.3337,                 1.7966,               0.006733,               0.006733,               0.006733
                     68,                 1.3742,                  1.401,                 1.7966,                0.46961,                0.49399,                 0.5229,                0.32669,                 1.4108,                 1.5497,                 1.7848,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3853,                 1.3735,                 1.7881,                0.60219,                0.49204,                 0.5838,                0.37752,                 1.3804,                 1.4767,                 1.7444,               0.006634,               0.006634,               0.006634
                     70,                 1.3751,                 1.3928,                 1.7849,                0.61928,                0.59265,                0.59876,                0.38581,                 1.3458,                 1.4184,                 1.7044,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3696,                 1.3592,                 1.7767,                 0.6335,                0.61016,                0.65159,                0.40246,                 1.3735,                 1.4024,                 1.7615,               0.006535,               0.006535,               0.006535
                     72,                 1.3405,                 1.3061,                 1.7675,                0.63356,                0.63669,                0.67216,                0.41332,                 1.3679,                 1.3265,                 1.7663,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3133,                 1.3243,                 1.7408,                0.78266,                0.46323,                0.56636,                0.34904,                 1.4277,                 1.5124,                 1.7964,               0.006436,               0.006436,               0.006436
                     74,                  1.354,                 1.3438,                 1.7599,                0.57996,                0.54391,                0.57701,                0.35443,                  1.389,                 1.4072,                 1.7882,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3167,                 1.2886,                 1.7371,                0.45339,                0.62968,                 0.5748,                0.37083,                 1.3295,                 1.4577,                 1.7071,               0.006337,               0.006337,               0.006337
                     76,                 1.3425,                 1.3028,                 1.7548,                0.61483,                0.57393,                0.60107,                0.37515,                 1.3914,                 1.4557,                 1.7739,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3518,                 1.3115,                 1.7654,                0.59548,                0.46583,                0.59578,                0.38085,                 1.3948,                 1.4828,                 1.7834,               0.006238,               0.006238,               0.006238
                     78,                 1.3444,                 1.3568,                 1.7554,                0.55118,                0.54629,                0.60717,                0.38717,                 1.3613,                 1.4241,                 1.7468,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.308,                 1.2624,                 1.7249,                0.53476,                0.51739,                0.55218,                0.34618,                 1.3934,                 1.6041,                  1.756,               0.006139,               0.006139,               0.006139
                     80,                  1.331,                 1.2646,                 1.7446,                0.70676,                0.46114,                0.58093,                0.37495,                 1.3801,                 1.4994,                 1.7459,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3133,                 1.2395,                 1.7244,                0.63427,                0.47389,                0.57076,                0.36606,                 1.3813,                 1.6142,                 1.7343,                0.00604,                0.00604,                0.00604
                     82,                 1.2999,                 1.2262,                 1.7157,                0.56195,                0.57563,                0.59426,                0.38526,                 1.3183,                 1.3625,                 1.7205,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2821,                 1.2217,                 1.6937,                 0.5879,                0.52289,                0.58368,                0.35036,                 1.4958,                 1.5452,                 1.8276,               0.005941,               0.005941,               0.005941
                     84,                 1.2902,                 1.2492,                 1.7196,                0.64635,                 0.4444,                0.61854,                0.39106,                 1.3998,                 1.4895,                 1.8252,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2736,                 1.2206,                 1.7072,                0.59911,                0.63362,                0.62424,                0.37652,                 1.3708,                 1.4426,                 1.7783,               0.005842,               0.005842,               0.005842
                     86,                 1.3067,                 1.2206,                 1.7294,                0.71865,                 0.4263,                0.57983,                0.36964,                 1.3321,                 1.5608,                 1.7074,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2592,                 1.1745,                 1.6777,                0.50232,                 0.5601,                0.54996,                0.34979,                 1.3626,                 1.4827,                 1.7497,               0.005743,               0.005743,               0.005743
                     88,                 1.2852,                 1.2411,                 1.7003,                0.56499,                 0.5154,                0.57334,                0.35797,                  1.388,                 1.4808,                 1.7625,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2724,                 1.1794,                 1.6806,                0.55328,                0.46342,                0.55649,                0.35446,                 1.3519,                 1.5708,                 1.7286,               0.005644,               0.005644,               0.005644
                     90,                 1.2399,                 1.1668,                 1.6656,                0.50072,                0.57891,                0.53148,                0.31874,                 1.4849,                 1.7174,                 1.8376,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2553,                 1.2231,                 1.6979,                0.43832,                0.51575,                0.49952,                0.32567,                 1.3589,                 1.6669,                 1.7623,               0.005545,               0.005545,               0.005545
                     92,                 1.2141,                  1.125,                 1.6518,                0.62435,                0.44655,                0.55628,                0.35804,                 1.3788,                 1.5162,                 1.7464,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2291,                  1.123,                 1.6531,                0.43523,                0.63302,                0.54751,                0.33927,                 1.3674,                 1.5626,                 1.7586,               0.005446,               0.005446,               0.005446
                     94,                 1.2592,                 1.1927,                 1.6759,                0.54924,                0.58045,                0.55523,                0.36556,                 1.3218,                 1.4927,                 1.7038,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2663,                 1.1666,                 1.6822,                0.52033,                0.59577,                0.57694,                 0.3572,                 1.3888,                 1.4491,                   1.75,               0.005347,               0.005347,               0.005347
                     96,                 1.2363,                 1.1447,                 1.6591,                0.57648,                 0.5943,                0.58781,                0.38029,                 1.3489,                 1.3859,                 1.7237,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2129,                 1.1223,                 1.6443,                0.66759,                0.52135,                0.62919,                0.40383,                 1.3731,                 1.3092,                 1.7444,               0.005248,               0.005248,               0.005248
                     98,                 1.2286,                  1.113,                 1.6526,                0.50207,                0.65851,                0.60692,                0.38075,                 1.3493,                 1.3781,                 1.7325,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2255,                 1.0957,                 1.6554,                0.64612,                0.57196,                0.63174,                0.39821,                 1.3842,                 1.3638,                 1.7749,               0.005149,               0.005149,               0.005149
                    100,                 1.2006,                  1.131,                 1.6393,                0.61824,                0.43267,                 0.5472,                0.36782,                 1.3096,                 1.6418,                   1.69,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2085,                 1.0762,                 1.6346,                0.63596,                0.57295,                0.60836,                0.40858,                 1.3096,                  1.398,                 1.7077,                0.00505,                0.00505,                0.00505
                    102,                 1.2083,                  1.104,                 1.6285,                0.56747,                0.52307,                 0.5946,                0.38222,                 1.3415,                 1.4387,                 1.7252,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2002,                 1.0814,                 1.6291,                0.75682,                0.50837,                0.61682,                0.39082,                 1.3498,                 1.4009,                 1.7307,               0.004951,               0.004951,               0.004951
